country,portfolio,name,start_date,end_date
Netherlands,Finance,Wim Duisenberg,11 May 1973,19 December 1977
Netherlands,Finance,Frans Andriessen,19 December 1977,22 February 1980
Netherlands,Finance,Gijs van Aardenne,22 February 1980,5 March 1980
Netherlands,Finance,Fons van der Stee,5 March 1980,4 November 1982
Netherlands,Finance,Onno Ruding,4 November 1982,7 November 1989
Netherlands,Finance,Wim Kok,7 November 1989,22 August 1994
Netherlands,Finance,Gerrit Zalm,22 August 1994,4 June 1996
Netherlands,Finance,Hans Wijers,4 June 1996,26 June 1996
Netherlands,Finance,Gerrit Zalm,26 June 1996,22 July 2002
Netherlands,Finance,Hans Hoogervorst,22 July 2002,27 May 2003
Netherlands,Finance,Gerrit Zalm,27 May 2003,22 February 2007
Netherlands,Finance,Wouter Bos,22 February 2007,23 February 2010
Netherlands,Finance,Jan Kees de Jager,23 February 2010,5 November 2012
Netherlands,Finance,Jeroen Dijsselbloem,5 November 2012,26 October 2017
Netherlands,Finance,Wopke Hoekstra,26 October 2017,10 January 2022
Netherlands,Finance,Sigrid Kaag,10 January 2022,8 January 2024
Netherlands,Finance,Rob Jetten,8 January 2024,12 January 2024
Netherlands,Finance,Steven van Weyenberg,12 January 2024,2 July 2024
Netherlands,Finance,Eelco Heinen,2 July 2024,Incumbent
