country,portfolio,name,start_date,end_date,dob,dod,cause_of_death,wikidata_id
Sweden,Transport,Bengt Norling,1 July 1969,8 October 1976,1925-01-12,2002-06-02,,Q6017016
Sweden,Transport,Bo Turesson,8 October 1976,18 October 1978,1430-00-00,1505-02-20,,Q4802450
Sweden,Transport,Anitha Bondestam,18 October 1978,12 October 1979,1941-10-28,,,Q4987638
Sweden,Transport,Ulf Adelsohn,12 October 1979,5 May 1981,1941-10-04,,,Q3431988
Sweden,Transport,Olof Johansson,5 May 1981,22 May 1981,1937-07-31,,,Q2021126
Sweden,Transport,Claes Elmstedt,22 May 1981,8 October 1982,1928-03-31,2018-02-14,,Q4352320
Sweden,Transport,Curt Boström,8 October 1982,30 June 1985,1926-12-31,2014-03-03,,Q5583208
Sweden,Transport,Roine Carlsson,1 July 1985,17 October 1985,1937-12-10,2020-08-25,,Q5603378
Sweden,Transport,Sven Hulterström,18 October 1985,29 January 1989,1938-05-14,,,Q5816531
Sweden,Transport,Georg Andersson,30 January 1989,4 October 1991,1936-03-03,,,Q5554537
Sweden,Transport,Mats Odell,4 October 1991,7 October 1994,1947-04-30,,,Q571725
Sweden,Transport,Ines Uusman,7 October 1994,7 October 1998,1948-10-30,,,Q4984124
Sweden,Transport,Björn Rosengren,7 October 1998,16 October 2000,,,,Q21281674
Sweden,Transport,Ulrica Messing,16 October 2000,6 October 2006,1968-01-31,,,Q4967115
Sweden,Transport,Åsa Torstensson,6 October 2006,5 October 2010,1958-03-25,,,Q271235
Sweden,Transport,Catharina Elmsäter-Svärd,5 October 2010,3 October 2014,1965-11-23,,,Q2941786
Sweden,Transport,Anna Johansson,3 October 2014,27 July 2017,,,,Q18618760
Sweden,Transport,Tomas Eneroth,27 July 2017,18 October 2022,1966-12-04,,,Q5711551
Sweden,Transport,Andreas Carlson,18 October 2022,Incumbent,1987-02-13,,,Q5602835
